,POS,BIB,ATHLETE,COUNTRY,MARK,Reaction Time,index,name,venue,date,country,event,sex,round,url,ms*,Split,Mark,Athlete
2,3.0,679.0,Blessing Okagbare,NGR,11.22 q,0.16,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
3,4.0,378.0,Ruddy Zang Milama,GAB,11.43,0.17,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
4,5.0,891.0,Olesya Povkh,UKR,11.48,0.157,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
5,6.0,131.0,Sheniqua Ferguson,BAH,11.59,0.268,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
6,7.0,177.0,Rosângela Santos,BRA,11.61,0.214,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
7,,849.0,Semoy Hackett,TTO,DQ,0.188,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
0,1.0,953.0,Carmelita Jeter,USA,11.02 Q,0.191,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
1,2.0,847.0,Kelly-Ann Baptiste,TTO,11.05 Q,0.15,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
2,3.0,189.0,Ivet Lalova-Collio,BUL,11.23 q,0.139,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
3,4.0,373.0,Véronique Mang,FRA,11.44,0.139,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
4,5.0,519.0,Jura Levy,JAM,11.53,0.173,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
5,6.0,753.0,Aleksandra Fedoriva - Shpaer,RUS,11.54,0.19,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
6,7.0,178.0,Ana Claudia Lemos,BRA,11.55,0.165,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
7,8.0,538.0,Chisato Fukushima,JPN,11.59,0.159,266,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,semi-final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/semi-final/result,,,,
0,1.0,953.0,Carmelita Jeter,USA,10.9,0.167,267,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/final/result,,,,
1,2.0,511.0,Veronica Campbell-Brown,JAM,10.97,0.234,267,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/final/result,,,,
2,3.0,847.0,Kelly-Ann Baptiste,TTO,10.98,0.151,267,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/final/result,,,,
3,4.0,514.0,Shelly-Ann Fraser-Pryce,JAM,10.99,0.194,267,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/final/result,,,,
4,5.0,679.0,Blessing Okagbare,NGR,11.12,0.147,267,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/final/result,,,,
5,6.0,526.0,Kerron Stewart,JAM,11.15,0.212,267,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/final/result,,,,
6,7.0,189.0,Ivet Lalova-Collio,BUL,11.27,0.156,267,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/final/result,,,,
7,8.0,965.0,Marshevet Myers,USA,11.33,0.164,267,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,women,final,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/women/100-metres/final/result,,,,
0,1.0,232.0,Abdouraim Haroun,CHA,10.44 Q PB,0.178,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
1,2.0,101.0,Kieron Rogers,AIA,10.55 Q NR,0.167,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
2,3.0,970.0,Jurgen Themen,SUR,10.84 Q,0.222,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
3,4.0,669.0,George Pine,KIR,11.34 SB,0.191,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
4,5.0,717.0,Kitavanah Kountavong,LAO,11.42 PB,0.178,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
5,6.0,804.0,Joshua Jeremiah,NRU,11.44 PB,0.217,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
6,7.0,1027.0,Okilani Tinilau,TUV,11.58,0.165,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
7,8.0,960.0,Christopher Lima da Costa,STP,11.61 PB,0.197,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
0,1.0,531.0,Chi Ho Tsui,HKG,10.45 Q,0.172,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
1,2.0,542.0,Mohd Fadlin,INA,10.70 Q,0.184,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
2,3.0,1152.0,Tilak Ram Tharu,NEP,11.00 Q PB,0.183,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
3,4.0,821.0,Rodman Teltull,PLW,11.31 PB,0.172,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
4,5.0,775.0,Mohamed Ghassem Ahmed Taled,MTN,11.50 PB,0.208,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
5,6.0,100.0,Massoud Azizi,AFG,11.64 SB,0.194,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
6,7.0,426.0,John Howard,FSM,11.71 SB,0.189,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
7,,686.0,Kukyoung Kim,KOR,DQ,0.146,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
0,1.0,213.0,Gérard Kobéané,BUR,10.64 Q,0.188,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
1,2.0,119.0,Geronimo Goeloe,ARU,10.73 Q SB,0.145,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
2,3.0,939.0,Foo Ee Yeo,SGP,10.76 Q,0.176,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
3,4.0,231.0,Devilert Arsene Kimbembe,CGO,10.85 q,0.219,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
4,5.0,988.0,Joseph Andy Lui,TGA,11.48,0.202,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
5,6.0,729.0,Bledee Jarry,LBR,11.49 PB,0.195,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
6,7.0,937.0,Ah Chong Sam Chong,SAM,12.36 PB,0.177,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
7,8.0,795.0,Orrin Ogumoro Pharmin,NMI,12.60 PB,0.258,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
0,1.0,753.0,Mohammad Noor Imran A Hadi,MAS,10.77 Q,0.18,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
1,2.0,668.0,Dmitrii Ilin,KGZ,10.86 Q,0.213,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
2,3.0,269.0,Moudjib Toyb,COM,11.07 Q,0.158,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
3,4.0,769.0,Karl Farrugia,MLT,11.21,0.148,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
4,5.0,952.0,Francis Manioru,SOL,11.28 SB,0.163,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
5,6.0,951.0,Federico Gorrieri,SMR,11.42,0.133,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
6,7.0,120.0,Sogelau Tuvalu,ASA,15.66 PB,0.269,268,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,preliminary-round,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/preliminary-round/result,,,,
0,1.0,941.0,Kim COLLINS,SKN,10.13 Q,0.158,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
1,2.0,1091.0,Trell Kimmons,USA,10.32 Q,0.146,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
2,3.0,1016.0,Richard THOMPSON,TTO,10.34 Q,0.193,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
3,4.0,428.0,Suwaibou Sanneh,GAM,10.50,0.210,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
4,5.0,718.0,Ronalds Arajs,LAT,10.52,0.169,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
5,6.0,791.0,Peter Emelieze,NGR,10.58,0.190,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
6,7.0,231.0,Devilert Arsene Kimbembe,CGO,10.94,0.355,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
7,,155.0,Adrian Griffith,BAH,DQ,0.-91,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
0,1.0,1073.0,Walter Dix,USA,10.25 Q,0.165,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
1,2.0,429.0,Harry AIKINES-ARYEETEY,GBR,10.28 Q,0.146,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
2,3.0,1007.0,Keston Bledman,TTO,10.32 Q,0.168,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
3,4.0,168.0,Andrew Hinds,BAR,10.41 q,0.156,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
4,5.0,559.0,Jason Smyth,IRL,10.57,0.165,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
5,6.0,790.0,Ogho-Oghene Egwero,NGR,10.57,0.155,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
6,7.0,119.0,Geronimo Goeloe,ARU,10.84,0.159,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
7,8.0,542.0,Mohd Fadlin,INA,11.10,0.181,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
0,1.0,413.0,Christophe LEMAITRE,FRA,10.14 Q,0.157,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
1,2.0,1078.0,Justin GATLIN,USA,10.31 Q,0.182,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
2,3.0,783.0,Churandy MARTINA,NED,10.32 Q,0.183,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
3,4.0,437.0,Marlon Devonish,GBR,10.34 q,0.157,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
4,5.0,304.0,Carlos Jorge,DOM,10.62,0.184,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
5,6.0,1147.0,Gabriel Mvumvure,ZIM,10.63,0.142,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
6,7.0,101.0,Kieron Rogers,AIA,10.96,0.238,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
7,8.0,668.0,Dmitrii Ilin,KGZ,11.00,0.181,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
0,1.0,587.0,Yohan BLAKE,JAM,10.12 Q,0.182,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
1,2.0,424.0,Jimmy VICAUT,FRA,10.25 Q,0.194,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
2,3.0,1146.0,Ngonidzashe Makusha,ZIM,10.31 Q,0.16,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
3,4.0,229.0,Justyn Warner,CAN,10.33 q,0.147,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
4,5.0,167.0,Ramon Gittens,BAR,10.42,0.161,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
5,6.0,258.0,Ben Youssef Meité,CIV,10.45,0.187,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
6,7.0,213.0,Gérard Kobéané,BUR,10.59,0.152,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
7,8.0,970.0,Jurgen Themen,SUR,10.94,0.187,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
0,1.0,589.0,Nesta CARTER,JAM,10.26 Q,0.164,269,13th IAAF World Championships in Athletics,Daegu (DS),27 AUG 2011 - 04 SEP 2011,KOR,100-metres,men,heats,https://www.worldathletics.org/results/world-athletics-championships/2011/13th-iaaf-world-championships-in-athletics-4147/men/100-metres/heats/result,,,,
